Freq.	V(out)/V(in)
5.14079156553772e+00	(-1.08836787733907e+02dB,-1.76737178372976e+02)
5.26053598379076e+00	(-1.08435779648375e+02dB,-1.76661492626113e+02)
5.38306960785382e+00	(-1.08034724298914e+02dB,-1.76584066374846e+02)
5.50845740667633e+00	(-1.07633619481617e+02dB,-1.76504860671208e+02)
5.63676586252890e+00	(-1.07232462890966e+02dB,-1.76423835772593e+02)
5.76806300625320e+00	(-1.06831252115256e+02dB,-1.76340951131129e+02)
5.90241845333276e+00	(-1.06429984631826e+02dB,-1.76256165383347e+02)
6.03990344080402e+00	(-1.06028657802089e+02dB,-1.76169436340188e+02)
6.18059086502717e+00	(-1.05627268866351e+02dB,-1.76080720977400e+02)
6.32455532033675e+00	(-1.05225814938407e+02dB,-1.75989975426363e+02)
6.47187313859255e+00	(-1.04824292999919e+02dB,-1.75897154965416e+02)
6.62262242965181e+00	(-1.04422699894559e+02dB,-1.75802214011718e+02)
6.77688312278404e+00	(-1.04021032321904e+02dB,-1.75705106113731e+02)
6.93473700905062e+00	(-1.03619286831093e+02dB,-1.75605783944376e+02)
7.09626778467150e+00	(-1.03217459814216e+02dB,-1.75504199294932e+02)
7.26156109540201e+00	(-1.02815547499439e+02dB,-1.75400303069768e+02)
7.43070458194344e+00	(-1.02413545943859e+02dB,-1.75294045281975e+02)
7.60378792641121e+00	(-1.02011451026072e+02dB,-1.75185375049995e+02)
7.78090289988560e+00	(-1.01609258438450e+02dB,-1.75074240595338e+02)
7.96214341106993e+00	(-1.01206963679118e+02dB,-1.74960589241479e+02)
8.14760555608224e+00	(-1.00804562043624e+02dB,-1.74844367414058e+02)
8.33738766940669e+00	(-1.00402048616293e+02dB,-1.74725520642473e+02)
8.53159037603184e+00	(-9.99994182612554e+01dB,-1.74603993563009e+02)
8.73031664480330e+00	(-9.95966656131431e+01dB,-1.74479729923616e+02)
8.93367184301924e+00	(-9.91937850674490e+01dB,-1.74352672590474e+02)
9.14176379229748e+00	(-9.87907707705367e+01dB,-1.74222763556494e+02)
9.35470282574394e+00	(-9.83876166092987e+01dB,-1.74089943951905e+02)
9.57260184645275e+00	(-9.79843162004543e+01dB,-1.73954154057083e+02)
9.79557638736890e+00	(-9.75808628794833e+01dB,-1.73815333317803e+02)
1.00237446725454e+01	(-9.71772496891886e+01dB,-1.73673420363092e+02)
1.02572276798273e+01	(-9.67734693678856e+01dB,-1.73528353025863e+02)
1.04961492049954e+01	(-9.63695143372142e+01dB,-1.73380068366546e+02)
1.07406359274050e+01	(-9.59653766895707e+01dB,-1.73228502699923e+02)
1.09908174771525e+01	(-9.55610481751600e+01dB,-1.73073591625383e+02)
1.12468265038070e+01	(-9.51565201886671e+01dB,-1.72915270060840e+02)
1.15087987467431e+01	(-9.47517837555508e+01dB,-1.72753472280553e+02)
1.17768731071118e+01	(-9.43468295179621e+01dB,-1.72588131957115e+02)
1.20511917214871e+01	(-9.39416477202929e+01dB,-1.72419182207858e+02)
1.23319000372296e+01	(-9.35362281943625e+01dB,-1.72246555645989e+02)
1.26191468896038e+01	(-9.31305603442517e+01dB,-1.72070184436709e+02)
