Freq.	V(vout)/V(+)
1.00900900900901e+02	(3.85513902836331e+00dB,-8.12089581909402e+01)
1.01899899899900e+02	(3.78714741278463e+00dB,-8.19944529666526e+01)
1.02898898898899e+02	(3.71822160798612e+00dB,-8.27745230281858e+01)
1.03897897897898e+02	(3.64838357142490e+00dB,-8.35490474611567e+01)
1.04896896896897e+02	(3.57765571608170e+00dB,-8.43179117106179e+01)
1.05895895895896e+02	(3.50606085871894e+00dB,-8.50810076251969e+01)
1.06894894894895e+02	(3.43362216877067e+00dB,-8.58382334810511e+01)
1.07893893893894e+02	(3.36036311805402e+00dB,-8.65894939863996e+01)
1.08892892892893e+02	(3.28630743147802e+00dB,-8.73347002674619e+01)
1.09891891891892e+02	(3.21147903891096e+00dB,-8.80737698367045e+01)
1.10890890890891e+02	(3.13590202835164e+00dB,-8.88066265443493e+01)
1.11889889889890e+02	(3.05960060053539e+00dB,-8.95332005141384e+01)
1.12888888888889e+02	(2.98259902508944e+00dB,-9.02534280643883e+01)
1.13887887887888e+02	(2.90492159833800e+00dB,-9.09672516153867e+01)
1.14886886886887e+02	(2.82659260284104e+00dB,-9.16746195842003e+01)
1.15885885885886e+02	(2.74763626873783e+00dB,-9.23754862679700e+01)
1.16884884884885e+02	(2.66807673695055e+00dB,-9.30698117167616e+01)
1.17883883883884e+02	(2.58793802429093e+00dB,-9.37575615970381e+01)
1.18882882882883e+02	(2.50724399049912e+00dB,-9.44387070467939e+01)
1.19881881881882e+02	(2.42601830723271e+00dB,-9.51132245233760e+01)
1.20880880880881e+02	(2.34428442901150e+00dB,-9.57810956449826e+01)
1.21879879879880e+02	(2.26206556611384e+00dB,-9.64423070268006e+01)
1.22878878878879e+02	(2.17938465941001e+00dB,-9.70968501127032e+01)
1.23877877877878e+02	(2.09626435710968e+00dB,-9.77447210033900e+01)
1.24876876876877e+02	(2.01272699339221e+00dB,-9.83859202818082e+01)
1.25875875875876e+02	(1.92879456888131e+00dB,-9.90204528366461e+01)
1.26874874874875e+02	(1.84448873291939e+00dB,-9.96483276846478e+01)
1.27873873873874e+02	(1.75983076759141e+00dB,-1.00269557792443e+02)
1.28872872872873e+02	(1.67484157344274e+00dB,-1.00884159898544e+02)
1.29871871871872e+02	(1.58954165683251e+00dB,-1.01492154336110e+02)
1.30870870870871e+02	(1.50395111885941e+00dB,-1.02093564857027e+02)
1.31869869869870e+02	(1.41808964579537e+00dB,-1.02688418457818e+02)
1.32868868868869e+02	(1.33197650095964e+00dB,-1.03276745207825e+02)
1.33867867867868e+02	(1.24563051796487e+00dB,-1.03858578080090e+02)
1.34866866866867e+02	(1.15907009526593e+00dB,-1.04433952785301e+02)
